#FamilyID	pvalue	Significant at 0.05
OG0000001	0	y
OG0000002	0	y
OG0000003	0	y
OG0000004	0	y
OG0000005	0	y
OG0000006	0	y
OG0000008	0	y
OG0000009	0	y
OG0000010	0	y
OG0000015	0	y
OG0000017	0	y
OG0000019	0	y
OG0000020	0	y
OG0000021	0	y
OG0000022	0	y
OG0000024	0	y
OG0000026	0	y
OG0000027	0	y
OG0000028	0	y
OG0000032	0	y
OG0000033	0	y
OG0000035	0	y
OG0000036	0	y
OG0000037	0.025	y
OG0000038	0	y
OG0000040	0	y
OG0000042	0	y
OG0000043	0	y
OG0000045	0.002	y
OG0000046	0	y
OG0000048	0	y
OG0000050	0.021	y
OG0000051	0	y
OG0000053	0.002	y
OG0000054	0	y
OG0000056	0	y
OG0000057	0	y
OG0000058	0	y
OG0000059	0	y
OG0000060	0	y
OG0000062	0	y
OG0000063	0	y
OG0000064	0	y
OG0000065	0.008	y
OG0000066	0	y
OG0000067	0	y
OG0000068	0	y
OG0000069	0.004	y
OG0000070	0	y
OG0000073	0	y
OG0000074	0	y
OG0000075	0	y
OG0000079	0.015	y
OG0000081	0	y
OG0000082	0	y
OG0000083	0	y
OG0000086	0	y
OG0000091	0	y
OG0000093	0.001	y
OG0000094	0	y
OG0000095	0.011	y
OG0000096	0	y
OG0000097	0	y
OG0000099	0	y
OG0000100	0	y
OG0000101	0	y
OG0000102	0	y
OG0000103	0	y
OG0000104	0	y
OG0000105	0	y
OG0000106	0.012	y
OG0000107	0.002	y
OG0000108	0	y
OG0000110	0	y
OG0000113	0.032	y
OG0000114	0	y
OG0000116	0	y
OG0000117	0.001	y
OG0000120	0.006	y
OG0000123	0	y
OG0000124	0.002	y
OG0000125	0	y
OG0000128	0.036	y
OG0000133	0	y
OG0000134	0.02	y
OG0000137	0	y
OG0000138	0.001	y
OG0000139	0.015	y
OG0000141	0	y
OG0000143	0	y
OG0000145	0.003	y
OG0000146	0.035	y
OG0000147	0	y
OG0000156	0.01	y
OG0000157	0.014	y
OG0000158	0.003	y
OG0000159	0.01	y
OG0000162	0.04	y
OG0000165	0	y
OG0000167	0.001	y
OG0000168	0	y
OG0000169	0.002	y
OG0000176	0	y
OG0000178	0.023	y
OG0000179	0	y
OG0000182	0	y
OG0000183	0	y
OG0000187	0.009	y
OG0000189	0.013	y
OG0000191	0	y
OG0000199	0.015	y
OG0000203	0.001	y
OG0000205	0.002	y
OG0000207	0.003	y
OG0000208	0.013	y
OG0000210	0.036	y
OG0000221	0.002	y
OG0000222	0	y
OG0000223	0.002	y
OG0000224	0.002	y
OG0000225	0.003	y
OG0000228	0.038	y
OG0000229	0	y
OG0000230	0.002	y
OG0000231	0.002	y
OG0000241	0.014	y
OG0000243	0.002	y
OG0000248	0.002	y
OG0000249	0.027	y
OG0000251	0	y
OG0000253	0.003	y
OG0000254	0.002	y
OG0000256	0.011	y
OG0000257	0	y
OG0000261	0.01	y
OG0000264	0	y
OG0000268	0.002	y
OG0000269	0.003	y
OG0000270	0.003	y
OG0000273	0	y
OG0000277	0.021	y
OG0000281	0.013	y
OG0000285	0	y
OG0000288	0	y
OG0000289	0.035	y
OG0000293	0.001	y
OG0000297	0	y
OG0000308	0	y
OG0000312	0	y
OG0000317	0.005	y
OG0000319	0	y
OG0000324	0.03	y
OG0000326	0.015	y
OG0000332	0.009	y
OG0000338	0	y
OG0000344	0.01	y
OG0000345	0.003	y
OG0000347	0.022	y
OG0000353	0	y
OG0000361	0.021	y
OG0000362	0.001	y
OG0000364	0.045	y
OG0000365	0.009	y
OG0000367	0.002	y
OG0000368	0.012	y
OG0000369	0	y
OG0000371	0	y
OG0000376	0.013	y
OG0000385	0.002	y
OG0000389	0	y
OG0000390	0	y
OG0000395	0.023	y
OG0000399	0	y
OG0000400	0	y
OG0000402	0.045	y
OG0000405	0.003	y
OG0000406	0.021	y
OG0000408	0	y
OG0000419	0	y
OG0000420	0	y
OG0000426	0	y
OG0000428	0	y
OG0000431	0.042	y
OG0000438	0.029	y
OG0000440	0	y
OG0000447	0.007	y
OG0000448	0.002	y
OG0000450	0	y
OG0000456	0.003	y
OG0000458	0.009	y
OG0000464	0.002	y
OG0000470	0	y
OG0000474	0.001	y
OG0000476	0	y
OG0000484	0.039	y
OG0000488	0	y
OG0000491	0.001	y
OG0000496	0	y
OG0000497	0.013	y
OG0000499	0.027	y
OG0000503	0.021	y
OG0000510	0.021	y
OG0000512	0	y
OG0000516	0.012	y
OG0000518	0.001	y
OG0000521	0.021	y
OG0000524	0.013	y
OG0000526	0	y
OG0000530	0.035	y
OG0000533	0.027	y
OG0000534	0.001	y
OG0000546	0.048	y
OG0000547	0.013	y
OG0000566	0	y
OG0000572	0	y
OG0000575	0	y
OG0000579	0.04	y
OG0000583	0	y
OG0000584	0.001	y
OG0000586	0	y
OG0000592	0	y
OG0000622	0	y
OG0000624	0.003	y
OG0000627	0.034	y
OG0000638	0	y
OG0000639	0.032	y
OG0000646	0.007	y
OG0000647	0.003	y
OG0000654	0	y
OG0000663	0.015	y
OG0000671	0	y
OG0000682	0	y
OG0000691	0.045	y
OG0000711	0.016	y
OG0000716	0.021	y
OG0000727	0.034	y
OG0000729	0.001	y
OG0000734	0.001	y
OG0000743	0.003	y
OG0000749	0.001	y
OG0000772	0.001	y
OG0000780	0.032	y
OG0000782	0.001	y
OG0000784	0.022	y
OG0000786	0.021	y
OG0000794	0.011	y
OG0000802	0.043	y
OG0000812	0.009	y
OG0000816	0.045	y
OG0000826	0.009	y
OG0000832	0.009	y
OG0000834	0.009	y
OG0000836	0.036	y
OG0000837	0	y
OG0000844	0.036	y
OG0000873	0.002	y
OG0000881	0.005	y
OG0000892	0.009	y
OG0000905	0.009	y
OG0000910	0.001	y
OG0000929	0.001	y
OG0000935	0.009	y
OG0000952	0	y
OG0000957	0.001	y
OG0000971	0.011	y
OG0000976	0.038	y
OG0000980	0.021	y
OG0000982	0.038	y
OG0000994	0.03	y
OG0001000	0.045	y
OG0001003	0.045	y
OG0001009	0.045	y
OG0001013	0.047	y
OG0001019	0.045	y
OG0001020	0.038	y
OG0001024	0.045	y
OG0001025	0.012	y
OG0001028	0.038	y
OG0001030	0.045	y
OG0001042	0.045	y
OG0001043	0.038	y
OG0001047	0.045	y
OG0001049	0.045	y
OG0001058	0.045	y
OG0001059	0.045	y
OG0001065	0.045	y
OG0001072	0.045	y
OG0001084	0.045	y
OG0001090	0.045	y
OG0001092	0.038	y
OG0001103	0.012	y
OG0001107	0.045	y
OG0001108	0.045	y
OG0001109	0.045	y
OG0001116	0.045	y
OG0001120	0.045	y
OG0001132	0.045	y
OG0001175	0	y
OG0001180	0	y
OG0001182	0.032	y
OG0001185	0.003	y
OG0001194	0.005	y
OG0001196	0.032	y
OG0001214	0.005	y
OG0001239	0.005	y
OG0001384	0.005	y
OG0001416	0.04	y
OG0001574	0.036	y
OG0001580	0.024	y
OG0001582	0.032	y
OG0001617	0.012	y
OG0001619	0.036	y
OG0001685	0.035	y
OG0001693	0.036	y
OG0001768	0.026	y
OG0001873	0.001	y
OG0001938	0.02	y
OG0001946	0.049	y
OG0002605	0.035	y
OG0002906	0	y
OG0002925	0.009	y
OG0002974	0.021	y
OG0003010	0.044	y
OG0007127	0.009	y
OG0008151	0.026	y
OG0008171	0.025	y
OG0008214	0.026	y
OG0008237	0.046	y
OG0008612	0.046	y
OG0008884	0.021	y
OG0009010	0.025	y
OG0009083	0.025	y
OG0009486	0.026	y
OG0009499	0.026	y
OG0009501	0.003	y
OG0009520	0.014	y
OG0009540	0.003	y
OG0009541	0.008	y
OG0009880	0.008	y
OG0009914	0.022	y
OG0009928	0.047	y
OG0009935	0.022	y
OG0009938	0.022	y
