NONE	Orthogroup	Aedaeg	Anofun	Anogam	Anoste	Culbre	Culpip
NONE	OG0000000	6	59	121	84	0	6
NONE	OG0000001	2	22	62	12	1	102
NONE	OG0000002	98	14	26	0	17	6
NONE	OG0000003	11	24	36	8	1	44
NONE	OG0000004	33	15	24	18	2	29
NONE	OG0000005	1	17	2	0	1	99
NONE	OG0000006	84	8	12	0	13	3
NONE	OG0000007	1	44	36	5	0	28
NONE	OG0000008	2	2	6	0	3	96
NONE	OG0000009	47	7	11	8	10	25
NONE	OG0000010	13	12	31	10	6	31
NONE	OG0000011	6	18	40	23	0	14
NONE	OG0000012	8	7	17	4	0	64
NONE	OG0000013	1	1	1	1	0	96
NONE	OG0000014	0	60	26	2	0	8
NONE	OG0000015	28	11	14	14	1	25
NONE	OG0000016	3	26	25	39	0	0
NONE	OG0000017	5	19	20	14	1	29
NONE	OG0000018	18	11	17	17	0	21
NONE	OG0000019	25	12	24	0	16	2
NONE	OG0000020	1	1	1	1	1	74
NONE	OG0000021	25	13	21	0	16	3
NONE	OG0000022	14	11	16	14	1	22
NONE	OG0000023	20	17	31	5	0	3
NONE	OG0000024	6	15	10	22	10	11
NONE	OG0000025	0	17	11	39	0	5
NONE	OG0000026	19	6	9	3	19	15
NONE	OG0000027	10	14	20	1	4	20
NONE	OG0000028	17	3	3	3	4	39
NONE	OG0000029	4	13	3	10	0	38
NONE	OG0000030	1	50	14	0	0	1
NONE	OG0000031	0	20	14	6	0	25
NONE	OG0000032	24	8	7	5	1	17
NONE	OG0000033	8	0	0	0	1	50
NONE	OG0000034	1	15	22	17	0	4
NONE	OG0000035	15	8	9	0	3	23
NONE	OG0000036	16	8	7	8	2	15
NONE	OG0000037	9	11	11	12	2	9
NONE	OG0000038	41	2	1	1	1	8
NONE	OG0000039	9	6	12	0	0	27
NONE	OG0000040	13	4	4	3	2	27
NONE	OG0000041	5	6	6	5	0	30
NONE	OG0000042	15	5	6	5	4	17
NONE	OG0000043	1	15	21	10	3	2
NONE	OG0000044	10	9	9	9	4	9
NONE	OG0000045	11	6	5	5	8	15
NONE	OG0000046	7	9	15	12	1	6
NONE	OG0000047	0	6	1	0	0	43
NONE	OG0000048	8	8	3	4	14	12
NONE	OG0000049	34	1	2	2	0	10
NONE	OG0000050	10	6	5	4	14	10
NONE	OG0000051	1	3	12	3	1	29
NONE	OG0000052	8	16	20	4	0	0
NONE	OG0000053	9	8	8	9	1	12
NONE	OG0000054	12	7	8	3	1	15
NONE	OG0000055	21	3	5	8	0	9
NONE	OG0000056	12	4	4	4	7	15
NONE	OG0000057	0	14	15	15	1	0
NONE	OG0000058	20	5	3	4	2	11
NONE	OG0000059	12	6	7	8	1	11
NONE	OG0000060	6	7	10	6	2	13
NONE	OG0000061	8	16	8	3	0	9
NONE	OG0000062	15	7	6	8	1	7
NONE	OG0000063	15	3	3	3	1	19
NONE	OG0000064	25	2	8	0	6	2
NONE	OG0000065	9	6	8	7	2	11
NONE	OG0000066	1	3	17	4	16	2
NONE	OG0000067	10	4	10	10	1	8
NONE	OG0000068	11	5	7	5	1	13
NONE	OG0000069	6	7	9	4	11	5
NONE	OG0000070	10	3	2	4	1	22
NONE	OG0000071	7	9	7	6	4	9
NONE	OG0000072	36	0	0	0	0	6
NONE	OG0000073	9	6	7	5	1	14
NONE	OG0000074	25	2	1	0	1	12
NONE	OG0000075	14	3	3	3	1	17
NONE	OG0000076	4	0	0	0	0	37
NONE	OG0000077	4	0	0	0	0	37
NONE	OG0000078	8	2	2	2	0	26
NONE	OG0000079	6	8	7	6	3	10
NONE	OG0000080	7	8	10	3	0	12
NONE	OG0000081	2	1	0	0	1	36
NONE	OG0000082	1	0	0	0	38	1
NONE	OG0000083	8	4	3	2	2	20
NONE	OG0000084	0	4	18	17	0	0
NONE	OG0000085	8	4	4	4	11	7
NONE	OG0000086	27	0	0	0	1	10
NONE	OG0000087	17	10	7	2	0	2
NONE	OG0000088	7	7	11	6	0	7
NONE	OG0000089	8	5	11	0	0	14
NONE	OG0000090	8	6	6	6	4	8
NONE	OG0000091	1	1	1	1	33	1
NONE	OG0000092	1	5	5	6	0	21
NONE	OG0000093	11	6	7	7	2	4
NONE	OG0000094	9	2	8	7	1	9
NONE	OG0000095	4	3	4	4	16	5
NONE	OG0000096	14	3	3	1	12	3
NONE	OG0000097	15	3	5	5	1	7
NONE	OG0000098	4	17	7	4	0	4
NONE	OG0000099	7	8	9	10	1	0
NONE	OG0000100	9	4	3	2	6	11
NONE	OG0000101	2	3	2	3	22	3
NONE	OG0000102	5	11	9	5	1	4
NONE	OG0000103	15	2	3	5	4	6
NONE	OG0000104	2	2	2	2	23	3
NONE	OG0000105	6	2	2	1	18	5
NONE	OG0000106	9	5	6	6	1	7
NONE	OG0000107	9	3	3	3	12	4
NONE	OG0000108	7	3	2	3	3	16
NONE	OG0000109	7	5	4	5	5	7
NONE	OG0000110	0	16	11	3	2	1
NONE	OG0000111	8	9	4	4	0	7
NONE	OG0000112	8	3	7	8	0	6
NONE	OG0000113	6	6	8	6	1	5
NONE	OG0000114	9	1	2	3	1	16
NONE	OG0000115	1	0	0	0	0	31
NONE	OG0000116	3	3	3	1	19	2
NONE	OG0000117	6	9	5	3	4	4
NONE	OG0000118	4	6	6	6	0	9
NONE	OG0000119	6	4	5	5	7	4
NONE	OG0000120	8	6	6	4	1	6
NONE	OG0000121	6	3	5	4	0	13
NONE	OG0000122	5	7	7	7	0	5
NONE	OG0000123	4	1	8	6	1	11
NONE	OG0000124	3	2	2	2	18	4
NONE	OG0000125	5	3	3	3	3	14
NONE	OG0000126	6	5	5	5	1	8
NONE	OG0000127	5	5	5	6	4	5
NONE	OG0000128	5	3	4	4	5	9
NONE	OG0000129	4	0	0	0	0	26
NONE	OG0000130	1	0	0	0	0	29
NONE	OG0000131	5	5	5	6	3	5
NONE	OG0000132	7	5	4	7	0	6
NONE	OG0000133	7	3	3	3	1	12
NONE	OG0000134	6	4	5	5	1	8
NONE	OG0000135	4	6	6	5	0	8
NONE	OG0000136	6	5	3	3	7	5
NONE	OG0000137	3	0	0	0	25	0
NONE	OG0000138	10	5	3	4	1	5
NONE	OG0000139	4	2	4	2	11	5
NONE	OG0000140	6	5	5	5	2	5
NONE	OG0000141	4	3	4	4	1	12
NONE	OG0000142	0	1	14	13	0	0
NONE	OG0000143	0	0	0	1	1	26
NONE	OG0000144	5	4	4	4	6	4
NONE	OG0000145	6	3	7	4	1	6
NONE	OG0000146	4	7	6	4	2	4
NONE	OG0000147	6	0	0	0	7	14
NONE	OG0000148	23	0	0	0	0	4
NONE	OG0000149	5	6	6	4	0	6
NONE	OG0000150	2	1	5	16	0	3
NONE	OG0000151	3	0	0	0	0	24
NONE	OG0000152	4	5	6	6	0	6
NONE	OG0000153	3	3	2	2	0	17
NONE	OG0000154	6	6	5	6	0	4
NONE	OG0000155	6	4	5	4	1	6
NONE	OG0000156	6	3	3	3	2	9
NONE	OG0000157	7	4	4	3	1	7
NONE	OG0000158	5	3	4	5	1	8
NONE	OG0000159	9	3	3	3	2	6
