GO.ID	Term	Annotated	Significant	Expected	Classic_Fisher
GO:0051402	neuron apoptotic process	5	1	0.01	0.0074
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	6	1	0.01	0.0089
GO:0010468	regulation of gene expression	823	5	1.23	0.0128
GO:0010556	regulation of macromolecule biosynthetic process	828	5	1.23	0.013
GO:0031326	regulation of cellular biosynthetic process	830	5	1.24	0.0132
GO:0009889	regulation of biosynthetic process	837	5	1.25	0.0136
GO:0060255	regulation of macromolecule metabolic process	900	5	1.34	0.0176
GO:0031323	regulation of cellular metabolic process	902	5	1.34	0.0177
GO:0019222	regulation of metabolic process	959	5	1.43	0.0221
GO:0043065	positive regulation of apoptotic process	15	1	0.02	0.0222
GO:0043068	positive regulation of programmed cell death	15	1	0.02	0.0222
GO:0050794	regulation of cellular process	1554	6	2.32	0.0243
GO:0050789	regulation of biological process	1635	6	2.44	0.0303
GO:0065007	biological regulation	1754	6	2.61	0.0411
GO:0051252	regulation of RNA metabolic process	694	4	1.03	0.0495
